Category,Query,Configuration,Matched DB File,TP,FN,FP,Precision,Recall,F1 Score,Shift,Query Time (s),Correct
Coding,566726.mp3,ID0_df3_dt3,566726.mp3,457,2886,335,0.577,0.1367,0.221,0,6.482,True
Coding,566726.mp3,ID1_df4_dt2,566726.mp3,527,2751,337,0.61,0.1608,0.2545,0,5.9558,True
Coding,566726.mp3,ID2_df6_dt4,566726.mp3,242,1390,185,0.5667,0.1483,0.2351,0,5.8144,True
Coding,566726.mp3,ID3_df9_dt5,566726.mp3,176,846,148,0.5432,0.1722,0.2615,0,6.0783,True
Coding,566726.mp3,ID4_df12_dt6,566726.mp3,124,550,104,0.5439,0.184,0.2749,0,5.4292,True
Coding,566726.mp3,ID5_df15_dt8,566726.mp3,74,296,68,0.5211,0.2,0.2891,0,5.6477,True
Coding,566726.mp3,ID6_df25_dt10,566726.mp3,33,147,32,0.5077,0.1833,0.2694,0,5.4868,True
Coding,566726.mp3,ID7_df35_dt15,566726.mp3,20,67,15,0.5714,0.2299,0.3279,0,5.4404,True
Coding,566726.mp3,ID8_df50_dt20,566726.mp3,11,38,7,0.6111,0.2245,0.3284,0,5.5535,True
Coding,566726.mp3,ID9_df10_dt5,566726.mp3,159,774,137,0.5372,0.1704,0.2587,0,5.4621,True
Coding,566726.mp3,ID10_df10_dt5,566726.mp3,159,774,137,0.5372,0.1704,0.2587,0,5.5367,True
Coding,566726.mp3,ID11_df7_dt30,566726.mp3,37,147,37,0.5,0.2011,0.2868,0,5.6039,True
Coding,568126.mp3,ID0_df3_dt3,568126.mp3,348,1718,364,0.4888,0.1684,0.2505,0,5.7078,True
Coding,568126.mp3,ID1_df4_dt2,568126.mp3,415,2053,272,0.6041,0.1682,0.2631,0,5.6012,True
Coding,568126.mp3,ID2_df6_dt4,568126.mp3,205,903,135,0.6029,0.185,0.2831,0,5.9323,True
Coding,568126.mp3,ID3_df9_dt5,568126.mp3,173,802,79,0.6865,0.1774,0.282,0,5.8655,True
Coding,568126.mp3,ID4_df12_dt6,568126.mp3,166,679,48,0.7757,0.1964,0.3135,0,5.7435,True
Coding,568126.mp3,ID5_df15_dt8,568126.mp3,143,604,37,0.7944,0.1914,0.3085,0,5.9687,True
Coding,568126.mp3,ID6_df25_dt10,568126.mp3,55,199,20,0.7333,0.2165,0.3343,0,5.7941,True
Coding,568126.mp3,ID7_df35_dt15,568126.mp3,29,126,17,0.6304,0.1871,0.2886,0,5.9882,True
Coding,568126.mp3,ID8_df50_dt20,568126.mp3,10,48,5,0.6667,0.1724,0.274,0,5.8905,True
Coding,568126.mp3,ID9_df10_dt5,568126.mp3,171,776,69,0.7125,0.1806,0.2881,0,5.8712,True
Coding,568126.mp3,ID10_df10_dt5,568126.mp3,171,776,69,0.7125,0.1806,0.2881,0,5.8453,True
Coding,568126.mp3,ID11_df7_dt30,568126.mp3,41,174,39,0.5125,0.1907,0.278,0,5.7596,True
Coding,575226.mp3,ID0_df3_dt3,575226.mp3,404,2356,275,0.595,0.1464,0.235,0,6.1506,True
Coding,575226.mp3,ID1_df4_dt2,575226.mp3,439,2369,258,0.6298,0.1563,0.2505,0,6.1954,True
Coding,575226.mp3,ID2_df6_dt4,575226.mp3,271,1183,137,0.6642,0.1864,0.2911,0,5.7466,True
Coding,575226.mp3,ID3_df9_dt5,575226.mp3,201,766,79,0.7179,0.2079,0.3224,0,5.5071,True
Coding,575226.mp3,ID4_df12_dt6,575226.mp3,135,485,63,0.6818,0.2177,0.3301,0,5.4539,True
Coding,575226.mp3,ID5_df15_dt8,575226.mp3,88,266,45,0.6617,0.2486,0.3614,0,5.4897,True
Coding,575226.mp3,ID6_df25_dt10,575226.mp3,51,175,29,0.6375,0.2257,0.3333,0,5.5634,True
Coding,575226.mp3,ID7_df35_dt15,575226.mp3,15,61,16,0.4839,0.1974,0.2804,0,5.453,True
Coding,575226.mp3,ID8_df50_dt20,575226.mp3,8,36,10,0.4444,0.1818,0.2581,0,5.4362,True
Coding,575226.mp3,ID9_df10_dt5,575226.mp3,184,706,72,0.7188,0.2067,0.3211,0,5.4964,True
Coding,575226.mp3,ID10_df10_dt5,575226.mp3,184,706,72,0.7188,0.2067,0.3211,0,5.4992,True
Coding,575226.mp3,ID11_df7_dt30,575226.mp3,45,155,36,0.5556,0.225,0.3203,0,5.4976,True
Coding,577326.mp3,ID0_df3_dt3,577326.mp3,381,2328,227,0.6266,0.1406,0.2297,0,5.7322,True
Coding,577326.mp3,ID1_df4_dt2,577326.mp3,470,2383,232,0.6695,0.1647,0.2644,0,5.5121,True
Coding,577326.mp3,ID2_df6_dt4,577326.mp3,218,871,136,0.6158,0.2002,0.3021,0,5.5111,True
Coding,577326.mp3,ID3_df9_dt5,577326.mp3,136,503,82,0.6239,0.2128,0.3174,0,5.4992,True
Coding,577326.mp3,ID4_df12_dt6,577326.mp3,88,344,58,0.6027,0.2037,0.3045,0,5.5807,True
Coding,577326.mp3,ID5_df15_dt8,577326.mp3,68,219,37,0.6476,0.2369,0.3469,0,5.6103,True
Coding,577326.mp3,ID6_df25_dt10,577326.mp3,37,112,20,0.6491,0.2483,0.3592,0,5.6802,True
Coding,577326.mp3,ID7_df35_dt15,577326.mp3,21,63,8,0.7241,0.25,0.3717,0,5.4583,True
Coding,577326.mp3,ID8_df50_dt20,577326.mp3,15,31,6,0.7143,0.3261,0.4478,0,5.4754,True
Coding,577326.mp3,ID9_df10_dt5,577326.mp3,124,466,75,0.6231,0.2102,0.3143,0,5.4441,True
Coding,577326.mp3,ID10_df10_dt5,577326.mp3,124,466,75,0.6231,0.2102,0.3143,0,5.4574,True
Coding,577326.mp3,ID11_df7_dt30,577326.mp3,45,127,30,0.6,0.2616,0.3644,0,5.6192,True
Coding,597326.mp3,ID0_df3_dt3,597326.mp3,460,2697,512,0.4733,0.1457,0.2228,0,5.48,True
Coding,597326.mp3,ID1_df4_dt2,597326.mp3,500,2551,420,0.5435,0.1639,0.2518,0,5.5037,True
Coding,597326.mp3,ID2_df6_dt4,597326.mp3,240,1244,246,0.4938,0.1617,0.2437,0,5.4567,True
Coding,597326.mp3,ID3_df9_dt5,597326.mp3,135,787,130,0.5094,0.1464,0.2275,0,5.3981,True
Coding,597326.mp3,ID4_df12_dt6,597326.mp3,86,539,104,0.4526,0.1376,0.211,0,5.4677,True
Coding,597326.mp3,ID5_df15_dt8,597326.mp3,48,354,72,0.4,0.1194,0.1839,0,5.5386,True
